med,classRank,OR_std,OR,SE_OR,numInClass
151,34,17.78042699545077,1.3555171,.076236479,5
152,34,9.167451733268678,1.537017,.16766022,5
153,34,4.118945879343245,1.4295332,.34706289,5
154,34,2.451947505228459,1.9288486,.78665984,5
155,34,3.66493910227336,1.3882958,.37880459,5
157,35,21.11572181227389,1.25175,.059280474,3
158,35,3.936158749091054,.6601311,.16770947,3
159,35,2.275336713369277,1.0542052,.46331832,3
161,36,11.24066588670375,1.5784308,.14042147,5
162,36,7.174154627924331,1.1553904,.16104899,5
163,36,5.29000600118037,1.1745574,.22203329,5
164,36,2.021476553459822,.58888823,.29131588,5
165,36,.8724337538343983,.38967958,.44665807,5
166,37,20.75469556651129,1.1041286,.053198978,6
167,37,3.660549378475138,.675888,.18464114,6
168,37,7.591078313298301,.94039595,.12388173,6
169,37,4.790130202228173,1.1862005,.24763429,6
170,37,1.883368190081316,.77241927,.41012654,6
171,37,1.278710665491019,.91081631,.71229273,6
172,38,11.79432925603549,1.0705751,.090770327,1
173,39,30.26466395503479,1.1320901,.037406333,3
174,39,11.51927503162146,1.1857429,.10293555,3
175,39,2.1409094880925,1.5888889,.74215603,3
176,40,17.00258808717879,1.6890148,.099338688,3
177,40,18.47251168009087,1.8131969,.098156489,3
178,40,5.80333830594576,1.7202735,.29642826,3
179,41,11.89462102758536,1.0669372,.089699134,5
180,41,8.873715574468909,.80642158,.090877555,5
181,41,4.014906054755365,.35977,.089608572,5
182,41,1.839543415805749,.89550149,.48680639,5
183,41,1.244802567042276,.42492488,.34135926,5
186,42,19.34670418173263,2.7226033,.14072698,1
187,43,15.95043464347195,.83109957,.052105136,3
188,43,19.77802732341238,.82998669,.04196509,3
189,43,3.230830135713882,.53374511,.16520371,3
190,44,22.99212320749475,.98707753,.042931117,6
191,44,3.601617487261298,.57731932,.16029446,6
192,44,1.45343739674204,1.274729,.87704432,6
193,44,1.902291703513652,1.2302376,.64671344,6
194,44,1.999587285213468,1.5184169,.75936514,6
195,44,.9131366747838119,.78106791,.85536802,6
196,45,19.18786684656409,3.0659785,.15978736,2
197,45,5.8479536599321,1.0569769,.18074304,2
198,46,15.00495319012367,1.336237,.089053057,7
199,46,10.51233042676733,1.2195092,.11600751,7
200,46,8.773387045766201,2.00493,.22852406,7
201,46,6.048825533236335,1.4535822,.24030817,7
202,46,1.812833093969412,.83610207,.46121293,7
203,46,1.235498392349295,1.14224,.92451763,7
205,46,1.191742981939028,3.0143292,2.529345,7
206,47,14.26612081314735,1.5367373,.10771935,6
207,47,11.2813755610342,1.5955575,.14143288,6
